QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Manual,"(0.1437223206964147, 'RenameCodebook')","(0.28934219646073644, 'CodebookDelete')","(0.3353655459751146, 'ExportCodebook')","(0.6715449011322165, 'Export')","(0.6983016605704379, 'Codebook')","(0.730597962322257, 'BuiltIn')","(0.7402319827371262, 'ApplicationBased')","(0.7530580303810914, 'CodebookUpdate')","(0.7612467577756438, 'AnnotationServer')","(0.7622216558094908, 'BrowserStorage')","(0.7947586114922365, 'ImportCodebook')","(0.8228294546824644, 'Autocomplete')","(0.8267944445139601, 'Date')","(0.8314540237156879, 'DeleteAll')","(0.8316046701390277, 'Classifying')","(0.8316160087874868, 'MoodleReport')","(0.8317666249851753, 'SidebarNavigation')","(0.8319145860277914, 'MultiValued')","(0.8321913178314696, 'Hierarchy')"
AnnotationServer,"(0.14810770362458653, 'BrowserStorage')","(0.6092608175381107, 'ApplicationBased')","(0.7042337320583453, 'BuiltIn')","(0.7138765051273999, 'Codebook')","(0.7612467577756438, 'Manual')","(0.8142928334692648, 'Autocomplete')","(0.828184269505659, 'Date')","(0.8292581135503726, 'Export')","(0.8314636636108431, 'DeleteAll')","(0.8315421310301746, 'Classifying')","(0.8315860882417555, 'MoodleReport')","(0.8317179155155822, 'SidebarNavigation')","(0.8318111070991862, 'ImportCodebook')","(0.8318567423396211, 'MultiValued')","(0.8318731559904161, 'ExportCodebook')","(0.8318740472153189, 'CodebookDelete')","(0.8319090138638043, 'RenameCodebook')","(0.8321216692387267, 'CodebookUpdate')","(0.8321406320785919, 'Hierarchy')"
Hierarchy,"(0.16475912662075937, 'Date')","(0.1983435119614362, 'CodebookUpdate')","(0.24273419183058328, 'SidebarNavigation')","(0.29127555109144465, 'MultiValued')","(0.4503869571685921, 'Classifying')","(0.49229260193848895, 'Codebook')","(0.5963387251500324, 'BuiltIn')","(0.6047302071602362, 'ApplicationBased')","(0.6238163143654196, 'Autocomplete')","(0.6707944845043341, 'Export')","(0.715153313299849, 'MoodleReport')","(0.730417332443204, 'ImportCodebook')","(0.7318152610498394, 'ExportCodebook')","(0.8315708771005292, 'DeleteAll')","(0.8319102184314054, 'BrowserStorage')","(0.8320043249626974, 'CodebookDelete')","(0.8320190117389465, 'RenameCodebook')","(0.8321406320785919, 'AnnotationServer')","(0.8321913178314696, 'Manual')"
MoodleReport,"(0.4400341387270061, 'Classifying')","(0.4786535238459586, 'MultiValued')","(0.525011166208875, 'SidebarNavigation')","(0.715153313299849, 'Hierarchy')","(0.7383691694149358, 'Autocomplete')","(0.7515259009754691, 'Date')","(0.7586452324146996, 'CodebookUpdate')","(0.771089576097004, 'Codebook')","(0.7803400480260524, 'BuiltIn')","(0.7811829295245967, 'ApplicationBased')","(0.785009380191496, 'Export')","(0.7988821318812882, 'ImportCodebook')","(0.7992548646362067, 'ExportCodebook')","(0.8302895149608158, 'DeleteAll')","(0.8309551971727157, 'BrowserStorage')","(0.8311642308532387, 'CodebookDelete')","(0.8312966727805348, 'RenameCodebook')","(0.8315860882417555, 'AnnotationServer')","(0.8316160087874868, 'Manual')"
ExportCodebook,"(0.30921908565403866, 'RenameCodebook')","(0.3353655459751146, 'Manual')","(0.38583866568658515, 'CodebookDelete')","(0.43341374962444895, 'Export')","(0.5214507951833824, 'Codebook')","(0.5524236072311524, 'BuiltIn')","(0.5903293095597558, 'ImportCodebook')","(0.5931924986473077, 'ApplicationBased')","(0.6273260972476276, 'CodebookUpdate')","(0.6921503752446321, 'Classifying')","(0.7256489263960119, 'Date')","(0.7318152610498394, 'Hierarchy')","(0.7389638486947071, 'SidebarNavigation')","(0.7419610971476917, 'MultiValued')","(0.7721262874238588, 'Autocomplete')","(0.7992548646362067, 'MoodleReport')","(0.8308616156675945, 'DeleteAll')","(0.8314463776794645, 'BrowserStorage')","(0.8318731559904161, 'AnnotationServer')"
CodebookDelete,"(0.25634836866651445, 'RenameCodebook')","(0.28934219646073644, 'Manual')","(0.38583866568658515, 'ExportCodebook')","(0.6646650131704042, 'DeleteAll')","(0.6779469875102799, 'Export')","(0.739865700997659, 'Codebook')","(0.7558550068136384, 'CodebookUpdate')","(0.7706717941565013, 'BuiltIn')","(0.7894990337466263, 'BrowserStorage')","(0.7907442488391161, 'ApplicationBased')","(0.7955300269328491, 'ImportCodebook')","(0.8253896446871877, 'Date')","(0.8307152381720476, 'Autocomplete')","(0.8310972485547586, 'Classifying')","(0.8311642308532387, 'MoodleReport')","(0.8313741893830036, 'SidebarNavigation')","(0.8315892208568404, 'MultiValued')","(0.8318740472153189, 'AnnotationServer')","(0.8320043249626974, 'Hierarchy')"
SidebarNavigation,"(0.05379315746453956, 'MultiValued')","(0.24273419183058328, 'Hierarchy')","(0.29072904194969784, 'Classifying')","(0.32455838661687697, 'Date')","(0.34686364337995346, 'CodebookUpdate')","(0.525011166208875, 'MoodleReport')","(0.5379451157100484, 'Codebook')","(0.6192707039148047, 'Autocomplete')","(0.6220125264438862, 'BuiltIn')","(0.6289870442553169, 'ApplicationBased')","(0.6827644020780013, 'Export')","(0.7376509749700288, 'ImportCodebook')","(0.7389638486947071, 'ExportCodebook')","(0.8305895190766086, 'DeleteAll')","(0.8311895057708498, 'BrowserStorage')","(0.8313741893830036, 'CodebookDelete')","(0.8314655557131936, 'RenameCodebook')","(0.8317179155155822, 'AnnotationServer')","(0.8317666249851753, 'Manual')"
DeleteAll,"(0.6646650131704042, 'CodebookDelete')","(0.7569784281183565, 'BrowserStorage')","(0.8244193915754922, 'Date')","(0.8257672494591508, 'Export')","(0.8294779662862182, 'Autocomplete')","(0.8299820204516589, 'Classifying')","(0.8302895149608158, 'MoodleReport')","(0.8303758810419422, 'Codebook')","(0.8305895190766086, 'SidebarNavigation')","(0.830723689846784, 'ApplicationBased')","(0.8307431450800028, 'ImportCodebook')","(0.8307563207655262, 'BuiltIn')","(0.8308616156675945, 'ExportCodebook')","(0.8309167534773102, 'MultiValued')","(0.8311525887255582, 'RenameCodebook')","(0.8314295091506144, 'CodebookUpdate')","(0.8314540237156879, 'Manual')","(0.8314636636108431, 'AnnotationServer')","(0.8315708771005292, 'Hierarchy')"
ApplicationBased,"(0.1271703783484839, 'BuiltIn')","(0.19377825426991788, 'Codebook')","(0.37310943174042055, 'Export')","(0.3885031857190491, 'ImportCodebook')","(0.5544377976399412, 'CodebookUpdate')","(0.5652945913589146, 'Classifying')","(0.5931924986473077, 'ExportCodebook')","(0.5975188040448334, 'Date')","(0.6047302071602362, 'Hierarchy')","(0.6092608175381107, 'AnnotationServer')","(0.6148353481019099, 'BrowserStorage')","(0.6289870442553169, 'SidebarNavigation')","(0.6378863925619322, 'MultiValued')","(0.7078209191210694, 'Autocomplete')","(0.7402319827371262, 'Manual')","(0.7811829295245967, 'MoodleReport')","(0.7889012081733051, 'RenameCodebook')","(0.7907442488391161, 'CodebookDelete')","(0.830723689846784, 'DeleteAll')"
Autocomplete,"(0.5670740860886708, 'Classifying')","(0.6192707039148047, 'SidebarNavigation')","(0.6238163143654196, 'Hierarchy')","(0.6240295176780267, 'MultiValued')","(0.6294985515357826, 'Date')","(0.6442421978148917, 'CodebookUpdate')","(0.6782100336506492, 'Codebook')","(0.7076792023853227, 'BuiltIn')","(0.7078209191210694, 'ApplicationBased')","(0.7383691694149358, 'MoodleReport')","(0.739084012032975, 'Export')","(0.7713409763051583, 'ImportCodebook')","(0.7721262874238588, 'ExportCodebook')","(0.8136271798427153, 'BrowserStorage')","(0.8142928334692648, 'AnnotationServer')","(0.8228294546824644, 'Manual')","(0.8294779662862182, 'DeleteAll')","(0.8307152381720476, 'CodebookDelete')","(0.8309207523778983, 'RenameCodebook')"
Codebook,"(0.1564462998367827, 'BuiltIn')","(0.19377825426991788, 'ApplicationBased')","(0.331227966728621, 'Export')","(0.40931257127382104, 'CodebookUpdate')","(0.41963894532630425, 'ImportCodebook')","(0.4847152041772951, 'Date')","(0.49229260193848895, 'Hierarchy')","(0.5057084181970325, 'Classifying')","(0.5214507951833824, 'ExportCodebook')","(0.5379451157100484, 'SidebarNavigation')","(0.5537591556862874, 'MultiValued')","(0.6782100336506492, 'Autocomplete')","(0.6983016605704379, 'Manual')","(0.7138765051273999, 'AnnotationServer')","(0.7156978584212859, 'BrowserStorage')","(0.7343982863217544, 'RenameCodebook')","(0.739865700997659, 'CodebookDelete')","(0.771089576097004, 'MoodleReport')","(0.8303758810419422, 'DeleteAll')"
CodebookUpdate,"(0.1983435119614362, 'Hierarchy')","(0.2104247655311312, 'Date')","(0.34686364337995346, 'SidebarNavigation')","(0.38515988161273224, 'MultiValued')","(0.40931257127382104, 'Codebook')","(0.49055294602706634, 'Classifying')","(0.5345860929142064, 'BuiltIn')","(0.5544377976399412, 'ApplicationBased')","(0.5891738206432195, 'Export')","(0.6273260972476276, 'ExportCodebook')","(0.6442421978148917, 'Autocomplete')","(0.684010659649875, 'ImportCodebook')","(0.7515690810888956, 'RenameCodebook')","(0.7530580303810914, 'Manual')","(0.7558550068136384, 'CodebookDelete')","(0.7586452324146996, 'MoodleReport')","(0.8314295091506144, 'DeleteAll')","(0.8318585646550065, 'BrowserStorage')","(0.8321216692387267, 'AnnotationServer')"
Export,"(0.23620750867348403, 'ImportCodebook')","(0.27844429389767694, 'BuiltIn')","(0.331227966728621, 'Codebook')","(0.37310943174042055, 'ApplicationBased')","(0.43341374962444895, 'ExportCodebook')","(0.5891738206432195, 'CodebookUpdate')","(0.5919894110506487, 'Classifying')","(0.6450177897715869, 'Date')","(0.6682980271559121, 'RenameCodebook')","(0.6707944845043341, 'Hierarchy')","(0.6715449011322165, 'Manual')","(0.6779469875102799, 'CodebookDelete')","(0.6827644020780013, 'SidebarNavigation')","(0.6888819104548185, 'MultiValued')","(0.739084012032975, 'Autocomplete')","(0.785009380191496, 'MoodleReport')","(0.8257672494591508, 'DeleteAll')","(0.8268690914820759, 'BrowserStorage')","(0.8292581135503726, 'AnnotationServer')"
BrowserStorage,"(0.14810770362458653, 'AnnotationServer')","(0.6148353481019099, 'ApplicationBased')","(0.7064764785611483, 'BuiltIn')","(0.7156978584212859, 'Codebook')","(0.7569784281183565, 'DeleteAll')","(0.7622216558094908, 'Manual')","(0.7894990337466263, 'CodebookDelete')","(0.8136271798427153, 'Autocomplete')","(0.8251222909003347, 'Date')","(0.8268690914820759, 'Export')","(0.8308470959347986, 'Classifying')","(0.8309551971727157, 'MoodleReport')","(0.8311895057708498, 'SidebarNavigation')","(0.8313434068555874, 'ImportCodebook')","(0.8314338038641415, 'MultiValued')","(0.8314463776794645, 'ExportCodebook')","(0.8315433698963525, 'RenameCodebook')","(0.8318585646550065, 'CodebookUpdate')","(0.8319102184314054, 'Hierarchy')"
BuiltIn,"(0.1271703783484839, 'ApplicationBased')","(0.1564462998367827, 'Codebook')","(0.27844429389767694, 'Export')","(0.3023886626861444, 'ImportCodebook')","(0.5345860929142064, 'CodebookUpdate')","(0.5505537912097299, 'Classifying')","(0.5524236072311524, 'ExportCodebook')","(0.5892783951709274, 'Date')","(0.5963387251500324, 'Hierarchy')","(0.6220125264438862, 'SidebarNavigation')","(0.6313665724013066, 'MultiValued')","(0.7042337320583453, 'AnnotationServer')","(0.7064764785611483, 'BrowserStorage')","(0.7076792023853227, 'Autocomplete')","(0.730597962322257, 'Manual')","(0.7675250724364784, 'RenameCodebook')","(0.7706717941565013, 'CodebookDelete')","(0.7803400480260524, 'MoodleReport')","(0.8307563207655262, 'DeleteAll')"
Classifying,"(0.26759965928362783, 'MultiValued')","(0.29072904194969784, 'SidebarNavigation')","(0.4400341387270061, 'MoodleReport')","(0.4503869571685921, 'Hierarchy')","(0.49055294602706634, 'CodebookUpdate')","(0.49451279895600936, 'Date')","(0.5057084181970325, 'Codebook')","(0.5505537912097299, 'BuiltIn')","(0.5652945913589146, 'ApplicationBased')","(0.5670740860886708, 'Autocomplete')","(0.5919894110506487, 'Export')","(0.630635895778462, 'ImportCodebook')","(0.6921503752446321, 'ExportCodebook')","(0.8299820204516589, 'DeleteAll')","(0.8308470959347986, 'BrowserStorage')","(0.8310972485547586, 'CodebookDelete')","(0.831211805365668, 'RenameCodebook')","(0.8315421310301746, 'AnnotationServer')","(0.8316046701390277, 'Manual')"
Date,"(0.16475912662075937, 'Hierarchy')","(0.2104247655311312, 'CodebookUpdate')","(0.32455838661687697, 'SidebarNavigation')","(0.36727718566333556, 'MultiValued')","(0.4847152041772951, 'Codebook')","(0.49451279895600936, 'Classifying')","(0.5892783951709274, 'BuiltIn')","(0.5975188040448334, 'ApplicationBased')","(0.6294985515357826, 'Autocomplete')","(0.6450177897715869, 'Export')","(0.7245613826375558, 'ImportCodebook')","(0.7256489263960119, 'ExportCodebook')","(0.7515259009754691, 'MoodleReport')","(0.8244193915754922, 'DeleteAll')","(0.8251222909003347, 'BrowserStorage')","(0.8253896446871877, 'CodebookDelete')","(0.8267944445139601, 'Manual')","(0.8274612127814078, 'RenameCodebook')","(0.828184269505659, 'AnnotationServer')"
RenameCodebook,"(0.1437223206964147, 'Manual')","(0.25634836866651445, 'CodebookDelete')","(0.30921908565403866, 'ExportCodebook')","(0.6682980271559121, 'Export')","(0.7343982863217544, 'Codebook')","(0.7515690810888956, 'CodebookUpdate')","(0.7675250724364784, 'BuiltIn')","(0.7889012081733051, 'ApplicationBased')","(0.79399305449896, 'ImportCodebook')","(0.8274612127814078, 'Date')","(0.8309207523778983, 'Autocomplete')","(0.8311525887255582, 'DeleteAll')","(0.831211805365668, 'Classifying')","(0.8312966727805348, 'MoodleReport')","(0.8314655557131936, 'SidebarNavigation')","(0.8315433698963525, 'BrowserStorage')","(0.831647012074907, 'MultiValued')","(0.8319090138638043, 'AnnotationServer')","(0.8320190117389465, 'Hierarchy')"
MultiValued,"(0.05379315746453956, 'SidebarNavigation')","(0.26759965928362783, 'Classifying')","(0.29127555109144465, 'Hierarchy')","(0.36727718566333556, 'Date')","(0.38515988161273224, 'CodebookUpdate')","(0.4786535238459586, 'MoodleReport')","(0.5537591556862874, 'Codebook')","(0.6240295176780267, 'Autocomplete')","(0.6313665724013066, 'BuiltIn')","(0.6378863925619322, 'ApplicationBased')","(0.6888819104548185, 'Export')","(0.7407161689087215, 'ImportCodebook')","(0.7419610971476917, 'ExportCodebook')","(0.8309167534773102, 'DeleteAll')","(0.8314338038641415, 'BrowserStorage')","(0.8315892208568404, 'CodebookDelete')","(0.831647012074907, 'RenameCodebook')","(0.8318567423396211, 'AnnotationServer')","(0.8319145860277914, 'Manual')"
ImportCodebook,"(0.23620750867348403, 'Export')","(0.3023886626861444, 'BuiltIn')","(0.3885031857190491, 'ApplicationBased')","(0.41963894532630425, 'Codebook')","(0.5903293095597558, 'ExportCodebook')","(0.630635895778462, 'Classifying')","(0.684010659649875, 'CodebookUpdate')","(0.7245613826375558, 'Date')","(0.730417332443204, 'Hierarchy')","(0.7376509749700288, 'SidebarNavigation')","(0.7407161689087215, 'MultiValued')","(0.7713409763051583, 'Autocomplete')","(0.79399305449896, 'RenameCodebook')","(0.7947586114922365, 'Manual')","(0.7955300269328491, 'CodebookDelete')","(0.7988821318812882, 'MoodleReport')","(0.8307431450800028, 'DeleteAll')","(0.8313434068555874, 'BrowserStorage')","(0.8318111070991862, 'AnnotationServer')"
